P60202|MYPR: 30204683.75
P35802|GPM6A: 29089380.0
P16330|CN37: 27966879.0
Q6PIC6|AT1A3: 25895093.5
Q99KI0|ACON: 25655127.875
Q60932|VDAC1: 25353047.375
P43006|EAA2: 25312329.75
P17182|ENOA: 24632261.5
Q03265|ATPA: 24525265.0
O88935|SYN1: 24072991.875
P08249|MDHM: 24050451.0
P11798|KCC2A: 24002139.5
P14152|MDHC: 23745397.25
Q62277|SYPH: 23622223.375
P63017|HSP7C: 23393076.375
Q91XV3|BASP1: 22837500.0
Q9R0P9|UCHL1: 22732672.0
P01831|THY1: 22505088.875
P70296|PEBP1: 22160827.875
P56480|ATPB: 21861546.5
Q64332|SYN2: 20899018.0
P18760|COF1: 20776481.125
P17742|PPIA: 20681140.875
Q04447|KCRB: 20628151.5
P39053|DYN1: 20625504.375
P15105|GLNA: 20611238.75
P52480|KPYM: 20513362.25
Q68FD5|CLH1: 20299293.625
P0DP27|CALM2: 20217906.0
P62806|H4: 20154281.0
P05064|ALDOA: 20077050.5
P48962|ADT1: 20058402.375
P62259|1433E: 19514711.375
O55042|SYUA: 19317155.625
P61982|1433G: 19296366.25
P09411|PGK1: 18690431.375
P17183|ENOG: 18569694.25
P17751|TPIS: 18554904.125
Q9DBJ1|PGAM1: 18425314.0
P68368|TBA4A: 18078286.0
P56564|EAA1: 18023170.75
P14094|AT1B1: 17871549.0
P05202|AATM: 17753940.0
P46096|SYT1: 16065103.625
Q9D6F9|TBB4A: 15840659.5
P30275|KCRU: 15749545.75
P63260|ACTG: 15239594.5
P99024|TBB5: 15027941.5
P63101|1433Z: 14805201.5
P46460|NSF: 14522750.75
Q8VEM8|MPCP: 14336283.75
O08553|DPYL2: 14127717.5
P62874|GBB1: 14020729.125
Q9CQV8|1433B: 13904343.5
Q9ERD7|TBB3: 13689150.0
Q91ZZ3|SYUB: 13498051.125
P68033|ACTC: 13439350.875
Q61171|PRDX2: 13421351.0
Q9QXS1|PLEC: 13343501.5
P16546|SPTN1: 13241718.25
P16125|LDHB: 13209003.625
Q9DB20|ATPO: 13137308.0
O08599|STXB1: 12935953.625
Q6PIE5|AT1A2: 12487971.0
P63011|RAB3A: 12486336.0625
P19783|COX41: 12419879.6875
P26883|FKB1A: 12355091.625
P05201|AATC: 12319551.75
P18872|GNAO: 12111250.0
Q99PJ0|NTRI: 12109483.3125
P06745|G6PI: 11852661.375
Q9CZU6|CISY: 11819001.6875
P05063|ALDOC: 11743916.5
Q60931|VDAC3: 11521089.0
Q7TMM9|TBB2A: 11478071.375
P99029|PRDX5: 11442540.1875
P17710|HXK1: 11421415.875
Q8BH34|SEM3D: 11130006.3125
Q8VDN2|AT1A1: 11042407.0625
P50516|VATA: 10990744.125
Q9DB77|QCR2: 10842450.5625
Q9DCX2|ATP5H: 10783660.375
P08553|NFM: 10764528.125
P61205|ARF3: 10550845.9375
Q8C3X4|GUF1: 10427346.75
Q62261|SPTB2: 10357687.8125
P08228|SODC: 10210287.25
P68510|1433F: 10153868.0625
Q60930|VDAC2: 10152430.1875
