O88448|KLC2: -22.317501825480033
A2A7S8|K1522: -19.25202437145402
B9EKR1|PRPTZ: -16.594494739100547
P60867|RS20: -16.389443602638103
A2AVR2|MROH7: -16.229890575409975
P60670|NPL4: -14.376954371854852
B2RXS4|PLXB2: -12.238299095959968
B1AVY7|KI16B: -11.294557926331967
P60824|CIRBP: -11.18403717695645
A2ALU4|SHRM2: -9.93199887141892
A2A5R2|BIG2: -8.00399762865644
P61079|UB2D3: -7.691199553588124
A2ASZ8|SCMC2: -7.058087143535341
P60764|RAC3: -6.356323678635578
C0HK79|ARXS1: -6.338366820562246
A2AN08|UBR4: -5.835067498619964
B2RY50|ARMC4: -5.062673996696636
P60202|MYPR: -4.573985172059069
A2AP18|PLCH2: -3.19652382167409
P59759|MKL2: -0.606946993427765
A2ASQ1|AGRIN: 0.5165098327540616
B1AZP2|DLGP4: 0.6634553916055159
A2AWA9|RBGP1: 0.8199800271505642
A2AG50|MA7D2: 0.9749829366134587
P59108|CPNE2: 3.070579569737348
A2A8L5|PTPRF: 3.8898082867105734
P61222|ABCE1: 3.962323959902683
A2CG49|KALRN: 4.603433959024263
B1AXV0|FRS1L: 5.41722204686515
A2AJA9|AJM1: 5.77348782182026
P60229|EIF3E: 6.162966629094098
A2AQ25|SKT: 6.68673923939927
P59325|IF5: 6.722842716523789
B9EJ86|OSBL8: 7.278947447303932
P60521|GBRL2: 7.537346738593687
P59281|RHG39: 8.074932904364507
P61028|RAB8B: 9.177714731545079
A2ARZ3|FSIP2: 9.897967307802437
P61022|CHP1: 10.82410715922717
A2AJI0|MA7D1: 12.207702910998117
P61021|RAB5B: 13.149593109301515
P61082|UBC12: 13.632883682202477
P58871|TB182: 13.881826086617279
P61027|RAB10: 14.568636525683699
P61202|CSN2: 14.73593927912441
P60766|CDC42: 14.763653591400955
A6H5Z3|EXC6B: 15.02813569940795
B0V2N1|PTPRS: 15.129587040686818
P59279|RAB2B: 17.482811377120537
P61080|UB2D1: 17.550066802265956
A2A699|F1712: 18.435060192896866
P60487|PLPP: 18.70786543726632
P59017|B2L13: 19.777855130547177
B2RSH2|GNAI1: 21.58127076364832
A2ALS5|RPGP1: 22.320469751240076
D3YVF0|AKAP5: 22.357925238749015
A2RT62|FXL16: 23.18563258550385
B9EJA2|CTTB2: 27.375242992086665
A2AGT5|CKAP5: 31.35826581272888
A2A432|CUL4B: 32.556051982646814
D3YXK2|SAFB1: 68.95504397737776
A8C756|THADA: 72.39975782803607
A2APV2|FMNL2: 72.89520696785901
A2A8L1|CHD5: 72.92213218473476
B2RW38|CFA58: 73.09379669796047
A2AL36|CNTRL: 73.18742709495778
A2ASS6|TITIN: 73.18996532410935
A2ADY9|DDI2: 74.65871992095052
A2APX8|SCN1A: nan
E9Q414|APOB: -22.16987652368026
O08795|GLU2B: -20.44383416333992
E9Q8I9|FRY: -16.177117455778138
O08663|MAP2: -12.707102121990426
G3UYX5|RGS22: -11.901992308986737
E9Q4N7|ARI1B: -9.751528062628827
