P60202|MYPR: 151947714.5
P16858|G3P: 113687499.49999999
P04370|MBP: 97810677.25
P63260|ACTG: 56904457.33333333
P14094|AT1B1: 38367226.41666667
O08553|DPYL2: 37388572.83333333
P11798|KCC2A: 32583333.333333332
Q04447|KCRB: 30198992.666666668
P63101|1433Z: 26940034.833333336
P05064|ALDOA: 24475504.499999996
P56480|ATPB: 24262816.666666668
P48962|ADT1: 20677083.333333332
Q6PIC6|AT1A3: 18553433.666666664
P52480|KPYM: 18055278.333333336
Q91XV3|BASP1: 17685939.416666668
P16125|LDHB: 17060000.0
P0DP27|CALM2: 16179760.083333336
Q64332|SYN2: 15763185.583333332
P08249|MDHM: 13730807.833333332
P16330|CN37: 13211586.0
P14152|MDHC: 11581872.083333336
P17182|ENOA: 10866437.833333336
P62806|H4: 10828701.333333332
P43006|EAA2: 10357365.916666668
Q03265|ATPA: 9333587.249999996
Q63810|CANB1: 8436250.0
P97427|DPYL1: 7725416.666666667
Q8BMF4|ODP2: 7424166.666666667
P35802|GPM6A: 6948520.916666664
P17742|PPIA: 6947770.083333332
P03995|GFAP: 6914552.083333334
P00405|COX2: 6649166.666666667
P84244|H33: 5930726.208333334
P12023|A4: 5573188.5
O88935|SYN1: 5273172.083333332
Q9CPQ8|ATP5L: 5242083.333333333
P70296|PEBP1: 4807123.666666664
P63017|HSP7C: 4682519.333333336
Q9CR68|UCRI: 4532916.666666667
P46460|NSF: 4393535.583333334
P17751|TPIS: 4149202.75
Q8K2B3|SDHA: 4147291.6666666665
P10852|4F2: 4018333.3333333335
P68368|TBA4A: 3790877.666666668
Q9JKC6|CEND: 3624125.0
P30275|KCRU: 3601028.749999998
P26883|FKB1A: 3600150.083333334
Q60932|VDAC1: 3526202.583333336
Q78IK2|USMG5: 3510958.3333333335
Q91ZZ3|SYUB: 3499312.291666668
P17183|ENOG: 3489078.916666664
P46096|SYT1: 3481142.291666668
P43277|H13: 3441416.6666666665
P62983|RS27A: 3441314.583333334
P63328|PP2BA: 3364030.083333332
Q99KI0|ACON: 3288832.25
P63011|RAB3A: 3277046.208333334
P19783|COX41: 3201804.458333332
P84075|HPCA: 3181908.416666666
P16546|SPTN1: 3159171.208333334
P35762|CD81: 3152714.25
P06745|G6PI: 3148423.166666666
