Q6R0H7|GNAS1: -58.47470616801225
Q9WU78|PDC6I: -54.760717740328026
P53026|RL10A: -47.970414335038505
Q8VE33|GD1L1: -46.02369784139827
O08795|GLU2B: -45.99304202170042
Q8C1A5|THOP1: -45.14742429289536
O70591|PFD2: -44.80858598864388
Q99MN9|PCCB: -44.16109520957356
Q9CX34|SGT1: -44.03088604164671
Q9CR67|TMM33: -42.18912165616422
Q3THS6|METK2: -39.78155993615879
Q9CR57|RL14: -39.59278820515009
Q8R164|BPHL: -39.4441876585174
Q9Z0X1|AIFM1: -39.1199971259499
Q9JKR6|HYOU1: -38.75325830892496
Q60692|PSB6: -38.43176084637799
A2AGT5|CKAP5: -38.365767738078105
Q9WV80|SNX1: -38.35502633953401
P24369|PPIB: -38.3535790618478
Q9D8W5|PSD12: -37.590717980845334
P62245|RS15A: -37.37944935255076
P62192|PRS4: -36.970513687157066
Q920E5|FPPS: -36.560973587972676
Q9CZM2|RL15: -36.53890011009859
Q8BXV2|BRI3B: -36.31455555488412
P35585|AP1M1: -36.28907509986476
Q60676|PPP5: -35.71454661871695
P51174|ACADL: -35.26154220640114
O09061|PSB1: -35.24313206443972
Q07076|ANXA7: -35.18681839896921
Q8BGQ7|SYAC: -35.11194893981617
Q9CY58|PAIRB: -34.83662712310559
P49442|INPP: -34.8183335667538
Q91ZA3|PCCA: -34.81283047612728
Q9Z1Z2|STRAP: -34.7530986846304
O70435|PSA3: -34.645057535936516
Q8BG32|PSD11: -34.640145822045206
Q9D394|RUFY3: -34.42457752026961
P12367|KAP2: -34.28660658134936
P05132|KAPCA: -34.16844073159028
Q9DCD0|6PGD: -34.15481092937111
P84099|RL19: -33.549442395777845
Q9ERK4|XPO2: -33.39956862402605
Q924L1|LTMD1: -33.27233887202866
P49615|CDK5: -32.96422642080935
Q64516|GLPK: -32.93364710997504
Q9WVJ2|PSD13: -32.849996511134265
Q3UHD6|SNX27: -32.76068280037356
Q9D0E1|HNRPM: -32.68041720541324
P49443|PPM1A: -32.30719813234833
P47911|RL6: -32.29583231485348
P49312|ROA1: -31.955370919683528
Q9QZ88|VPS29: -31.788054921125177
Q9ESN6|TRIM2: -31.636425840312025
Q99JR1|SFXN1: -31.59959923513619
O88485|DC1I1: -31.505670834751985
Q8C0E2|VP26B: -31.44121990666175
Q3U1J4|DDB1: -31.394047319251914
Q811D0|DLG1: -31.377956976619988
P60843|IF4A1: -31.334402533899347
Q91ZX7|LRP1: -31.260210973467945
Q8BZ98|DYN3: -31.219310111931623
P09103|PDIA1: -31.16367310672465
Q06138|CAB39: -31.15832170353925
Q60737|CSK21: -31.0903391274703
P47963|RL13: -31.017921154413322
Q8VED9|LEGL: -30.904232483757134
P32020|NLTP: -30.688804004908558
Q922B2|SYDC: -30.557000474879636
Q3UHX2|HAP28: -30.505792026614174
Q9R1V7|ADA23: -30.462707945986214
Q91VM9|IPYR2: -30.34589809608393
O88643|PAK1: -30.2922653297104
Q8K400|STXB5: -30.275614902862852
P63037|DNJA1: -29.993382969529527
Q91W50|CSDE1: -29.91615550543191
Q922R8|PDIA6: -29.61747518058836
Q8BP47|SYNC: -29.589042511338867
P46471|PRS7: -29.422969495349825
P84084|ARF5: -29.41263254204332
Q9CQW1|YKT6: -29.36490489713368
Q6PCP5|MFF: -29.252878989180466
P84096|RHOG: -29.20449369495852
Q922Q4|P5CR2: -28.932275564135324
Q8R570|SNP47: -28.777779153713503
Q8BGH2|SAM50: -28.736912990041926
Q9JIF0|ANM1: -28.665656730909777
Q3UVX5|GRM5: -28.537054140980626
Q91YQ5|RPN1: -28.518024577961047
Q9EPL8|IPO7: -28.454120020026487
Q64010|CRK: -28.435458739414354
P50580|PA2G4: -28.37338989155887
P32921|SYWC: -28.348123081374652
Q8BWG8|ARRB1: -28.347027744961693
Q62465|VAT1: -28.294762907688153
Q6NZL0|SOGA3: -28.16809706120198
O55234|PSB5: -28.131681057174895
P24527|LKHA4: -28.117915262132346
Q9CYZ2|TPD54: -28.107135048154138
Q8BRT1|CLAP2: -28.097232536452246
Q3TDK6|ROGDI: -28.088672508176742
Q8R0A7|K0513: -27.877272836466172
Q9CR51|VATG1: -27.67497859904952
P29341|PABP1: -27.59323526736324
Q9CWM4|PFD1: -27.57758972962436
Q9CPW0|CNTP2: -27.49981930727512
P28738|KIF5C: -27.49743964201806
Q9DC51|GNAI3: -27.282613468655864
Q3TXS7|PSMD1: -27.20114787971995
P28658|ATX10: -27.10656808435274
Q9JIF7|COPB: -26.983062534366464
P63330|PP2AA: -26.925625703757635
Q9CQD1|RAB5A: -26.837100899087364
Q8BG51|MIRO1: -26.81442706869752
P28271|ACOC: -26.76050688115422
Q9Z1P6|NDUA7: -26.695442012867574
Q9QUR6|PPCE: -26.62094034026702
Q80Y14|GLRX5: -26.56492055783544
P62717|RL18A: -26.553708150090234
Q8VEK0|CC50A: -26.29143715908618
P47962|RL5: -26.173084245671696
Q9CXS4|CENPV: -26.12193709098798
O70325|GPX4: -26.119507621203695
Q6P1B1|XPP1: -26.08347817588317
Q9CQM9|GLRX3: -26.05187991378407
Q8BUV3|GEPH: -25.87984674415693
Q9JJU8|SH3L1: -25.855798598736683
Q9Z2W8|GRIA4: -25.854814301430928
Q9DCR2|AP3S1: -25.843610739486643
Q6PDL0|DC1L2: -25.798883325022473
Q9DBS2|TPRGL: -25.743132666114537
Q922H2|PDK3: -25.739023573466145
Q60902|EP15R: -25.664322744399254
Q91VR5|DDX1: -25.652282090963197
Q9CQ54|NDUC2: -25.650089356278194
Q9Z1X4|ILF3: -25.635237121738275
Q9JLB0|MPP6: -25.54204016348188
Q80VP0|TCPR1: -25.535145645037666
Q9CQF9|PCYOX: -25.489068773126387
Q8BJU0|SGTA: -25.48230535368097
P60840|ENSA: -25.481153487142716
A2ALS5|RPGP1: -25.46301351207375
Q60996|2A5G: -25.3794933515412
Q8CHU3|EPN2: -25.36622117105404
P16388|KCNA1: -25.337826962254855
P97379|G3BP2: -25.31785632662215
Q91VR8|BRK1: -25.2128712817883
Q6ZWX6|IF2A: -25.209358503725394
Q9CS84|NRX1A: -25.198108119514316
Q91Z53|GRHPR: -25.12578761724889
Q8BK30|NDUV3: -25.034548342877436
Q64133|AOFA: -24.969607819763134
Q78ZA7|NP1L4: -24.96150966560088
P62881|GNB5: -24.878504490932624
Q6PEB6|PHOCN: -24.83548668567329
Q6P9R2|OXSR1: -24.8343509428494
P50247|SAHH: -24.796782260309417
Q80Z38|SHAN2: -24.73441900260777
P23116|EIF3A: -24.623716152263608
P63028|TCTP: -24.616751106767516
Q9CXW4|RL11: -24.484937722903606
O54774|AP3D1: -24.42646694874332
Q99KB8|GLO2: -24.285394205037782
Q8BGD9|IF4B: -24.27673645179057
Q8R1Q8|DC1L1: -24.240902511585027
P56376|ACYP1: -24.188645390643433
Q9CXY6|ILF2: -24.177006434530288
Q6PB66|LPPRC: -24.169775039663676
Q8CBE3|WDR37: -24.162236118263554
P11031|TCP4: -24.160570369997856
Q91V92|ACLY: -24.044322378317872
Q9CPU2|NDUB2: -23.86991413182292
Q60780|GAS7: -23.843644244545036
O70589|CSKP: -23.818866333522816
Q8BH04|PCKGM: -23.814312034250154
Q7TMK9|HNRPQ: -23.749540805889616
Q9Z0P5|TWF2: -23.72508357506289
O88844|IDHC: -23.589424237503405
Q9R1V6|ADA22: -23.415508449148568
Q8C163|EXOG: -23.285045840390133
Q9DC70|NDUS7: -23.276020245423332
Q8C419|GP158: -23.271211761192845
Q9CQH7|BT3L4: -23.2288608434064
Q925I1|ATAD3: -23.198113009405358
Q8VDM4|PSMD2: -23.190123704212805
P28352|APEX1: -23.081918095462807
Q9Z0H4|CELF2: -23.009309236195538
Q3TC72|FAHD2: -22.983397244734746
O88456|CPNS1: -22.974385979140134
Q91YR1|TWF1: -22.946208287050958
Q91VI7|RINI: -22.915968619144312
Q641P0|ARP3B: -22.91382797136231
P54823|DDX6: -22.88796913658507
Q8R0Y6|AL1L1: -22.857793774756626
Q9Z2D6|MECP2: -22.835811198718964
P62858|RS28: -22.72031563785787
Q9CYG7|TOM34: -22.61229838628578
O70310|NMT1: -22.51132277246182
Q8R1B4|EIF3C: -22.42069411106586
P70398|USP9X: -22.349356918957483
Q921G7|ETFD: -22.330798513643533
P70372|ELAV1: -22.309964868813807
P62702|RS4X: -22.29524795854237
Q9WUA2|SYFB: -22.27509416635654
Q5SSM3|RHG44: -22.221211115865696
P62900|RL31: -22.15957350981032
P41105|RL28: -22.12238801938117
P61358|RL27: -22.011911660105483
P62484|ABI2: -21.977570048841354
Q8VD33|SGTB: -21.942921135923598
Q91ZJ5|UGPA: -21.79262373572143
Q9D1T0|LIGO1: -21.78895365272557
Q80ZJ1|RAP2A: -21.759313059846594
Q8QZS1|HIBCH: -21.725520824753954
Q6P9K8|CSKI1: -21.711561821043638
Q9D415|DLGP1: -21.699557524789697
Q8BG73|SH3L2: -21.699481313641385
Q9CXI5|MANF: -21.688364736603486
Q9CQ65|MTAP: -21.676574103794064
O08917|FLOT1: -21.63205949856922
Q9CQ60|6PGL: -21.597301170152107
Q9WUR2|ECI2: -21.57474737580648
O88746|TOM1: -21.556317505394816
P27612|PLAP: -21.541062926403804
Q8C8T8|TSR2: -21.478552814107445
Q8BP67|RL24: -21.469409707752575
O88447|KLC1: -21.41978387442101
Q5FWK3|RHG01: -21.313562746359974
O54984|ASNA: -21.261219152502886
Q3U0V1|FUBP2: -21.168829932056337
P03899|NU3M: -21.13254280747612
Q63844|MK03: -21.06082031510692
P49722|PSA2: -21.059286744908675
F8VPU2|FARP1: -21.04077983824669
Q9QXY6|EHD3: -21.03420840773756
P62137|PP1A: -20.959190805070698
P23198|CBX3: -20.876026452835035
E9Q3L2|PI4KA: -20.834547239026428
P45878|FKBP2: -20.78977910813289
Q64737|PUR2: -20.74739165168924
P11627|L1CAM: -20.74310405739981
Q9R1P4|PSA1: -20.705967841962686
Q8BLJ3|PLCX3: -20.70041089848963
Q9CY64|BIEA: -20.69822775072299
Q3ULJ0|GPD1L: -20.645929537876064
Q8BHL5|ELMO2: -20.595949798563705
P63323|RS12: -20.543333098132937
Q9JLV5|CUL3: -20.53253440716016
Q8VE47|UBA5: -20.51575193547674
Q8JZQ9|EIF3B: -20.47962151763369
Q5SSL4|ABR: -20.41718926923204
Q9DD18|DTD1: -20.369043379610154
Q8K212|PACS1: -20.34364631268523
O08529|CAN2: -20.327962822497373
Q61151|2A5E: -20.307502556944048
Q9CQ92|FIS1: -20.291259989432167
A2AJI0|MA7D1: -20.19402239602132
Q61543|GSLG1: -20.135318290567106
P58389|PTPA: -20.131847255250047
Q78PY7|SND1: -20.118315012501355
Q8BH66|ATLA1: -20.09999970424964
Q9EPJ9|ARFG1: -20.076525902235005
Q9D1L0|CHCH2: -20.066830859131496
P50429|ARSB: -20.060466486260182
P63141|KCNA2: -20.053118522460732
P31230|AIMP1: -20.013065504035897
O88998|NOE1: -19.97796192953775
Q9D358|PPAC: -19.94730605574879
Q80VD1|FA98B: -19.93945849892888
P62835|RAP1A: -19.925666918565806
Q9WV69|DEMA: -19.923653511213686
Q505D7|OPA3: -19.913169875596704
O08915|AIP: -19.90500479198491
Q9D710|TMX2: -19.889932821544686
B0V2N1|PTPRS: -19.868812423544092
Q80U23|SNPH: -19.866511774917765
Q99JP7|GGT7: -19.84232073403798
Q64727|VINC: -19.795879608635865
Q921F4|HNRLL: -19.785646433448775
Q9JMH9|MY18A: -19.774836575923747
Q9D8B3|CHM4B: -19.760650571060282
Q6ZWN5|RS9: -19.705123765937262
P40336|VP26A: -19.70409811420578
Q9QYF9|NDRG3: -19.60580121156104
Q4VAA2|CDV3: -19.596223231777174
Q8CAY6|THIC: -19.532144703089298
P62482|KCAB2: -19.528334930862876
Q5SXY1|CYTSB: -19.50709156160677
Q99LR1|ABD12: -19.467693630321936
Q91WC3|ACSL6: -19.459665728343214
P35293|RAB18: -19.43423003840442
B9EJA2|CTTB2: -19.37062072282833
Q812A2|SRGP3: -19.272967696162837
Q99NE5|RIMS1: -19.258006202424937
Q501J6|DDX17: -19.241508730241552
P22892|AP1G1: -19.236205513201323
Q9Z1Z0|USO1: -19.210429402753512
Q8JZN5|ACAD9: -19.21009233222252
Q9EPW0|INP4A: -19.20908978527205
Q9DAR7|DCPS: -19.15736505035451
P61202|CSN2: -19.12280113853383
Q99LB6|MAT2B: -19.103649002224493
Q6PHN9|RAB35: -19.10266000858285
Q62318|TIF1B: -19.066499857396995
Q80U28|MADD: -19.04916554006571
P62331|ARF6: -19.04360833815631
Q9EST5|AN32B: -18.962968214414595
P29758|OAT: -18.9425059492052
Q68FF6|GIT1: -18.934565249980196
Q8BLF1|NCEH1: -18.91709018763627
Q9CYH2|F213A: -18.88814093801296
Q9EPN1|NBEA: -18.83715231369003
P35282|RAB21: -18.835371921606168
Q8VCW8|ACSF2: -18.81845445595197
Q8BHN3|GANAB: -18.813924884732483
Q9R1R2|TRIM3: -18.771029239264436
Q9Z239|PLM: -18.69874009029443
P62500|T22D1: -18.680427370807728
Q9ERI6|RDH14: -18.602312967922494
O09117|SYPL1: -18.59677428392266
P48320|DCE2: -18.579132054622434
Q9JHK4|PGTA: -18.575716657084623
Q8CHP8|PGP: -18.531572158600714
P24472|GSTA4: -18.50304686826844
P62141|PP1B: -18.495609549104532
Q91WQ3|SYYC: -18.461462377371763
Q8K1Z0|COQ9: -18.449104982873827
Q8BK64|AHSA1: -18.448792294029317
O88696|CLPP: -18.441224849193855
Q80X80|C2C2L: -18.364118401047474
P35438|NMDZ1: -18.341877561353147
Q9R1V4|ADA11: -18.331834521307727
Q9R1P1|PSB3: -18.319779586505916
O70503|DHB12: -18.312144731588326
O35609|SCAM3: -18.28548274361185
E9Q401|RYR2: -18.282631709907747
Q9JLJ2|AL9A1: -18.251722578499606
Q8CHX7|RFTN2: -18.25141867011097
Q8BNY6|NCS1: -18.195835869026112
Q60631|GRB2: -18.177411055198277
Q640R3|HECAM: -18.163989178496095
Q60875|ARHG2: -18.15181201762832
Q8BKZ9|ODPX: -18.13421755786958
P12849|KAP1: -18.12796129502916
Q61166|MARE1: -18.086829884717687
Q8CFV4|NRN1: -18.039672856332412
Q8BGB7|ENOPH: -18.03800434489711
P47809|MP2K4: -18.005592751587603
Q8BLR2|CPNE4: -18.00534851177202
Q6PDM2|SRSF1: -18.003582593066938
P10605|CATB: -17.99819681562247
Q9JM52|MINK1: -17.937204401087104
P62196|PRS8: -17.933703039653157
P62307|RUXF: -17.926202683070183
O35405|PLD3: -17.88903184928649
P47753|CAZA1: -17.88515092925234
Q6ZWV7|RL35: -17.87269823921276
Q3UHD9|AGAP2: -17.87267237290428
P67984|RL22: -17.855319429735246
O35927|CTND2: -17.837384186834807
Q8C7M3|TRIM9: -17.830378612468042
Q8R3V5|SHLB2: -17.826206755912928
Q80YN3|BCAS1: -17.81973711641758
P46935|NEDD4: -17.80637457386828
Q9D5V5|CUL5: -17.800547434319036
Q5XJY5|COPD: -17.710307004703708
Q9Z204|HNRPC: -17.685149560865923
Q9Z2W9|GRIA3: -17.67188961599085
Q8BKC5|IPO5: -17.65557318307744
Q6ZWV3|RL10: -17.604361232331062
Q9QYB1|CLIC4: -17.592386068919886
O08919|NUMBL: -17.590974184248214
Q80UG5|SEPT9: -17.579570329019987
Q60865|CAPR1: -17.56978727410765
P04627|ARAF: -17.56130264879411
Q924M7|MPI: -17.544819315618437
A2A432|CUL4B: -17.52591523381281
Q9WUM4|COR1C: -17.473468612996708
Q9CQF4|CF203: -17.41614429564443
Q62443|NPTX1: -17.4064711097039
Q9JMH6|TRXR1: -17.393389064800903
Q05512|MARK2: -17.366338065142983
Q60634|FLOT2: -17.361100739181957
P0C0A3|CHMP6: -17.356000756590124
Q9CPS6|HINT3: -17.34664207658524
P27601|GNA13: -17.33830799432108
Q921F2|TADBP: -17.29260078041334
Q8R016|BLMH: -17.273634492783792
P17809|GTR1: -17.270369410588273
Q8BH44|COR2B: -17.26674886082485
Q8BHZ0|FA49A: -17.264182619684654
Q61301|CTNA2: -17.230419582642774
Q9CZ30|OLA1: -17.22952460650808
P97461|RS5: -17.208220525423876
Q922Q1|MARC2: -17.19517203100587
Q80UU9|PGRC2: -17.164152286106013
Q9JI46|NUDT3: -17.1521776173139
Q9JI90|RNF14: -17.13868181756606
P70704|AT8A1: -17.09681490429527
P62911|RL32: -17.08086920227154
