Q9QZ06|TOLIP: -18.228135961748453
Q62419|SH3G1: -18.052463045531997
P61202|CSN2: -15.969983793015366
P24288|BCAT1: -14.964935717130441
Q8VCW8|ACSF2: -14.259961656274006
P68037|UB2L3: -14.181161476884993
P56380|AP4A: -13.180630394065322
Q9R1P1|PSB3: -12.599927498802534
P58252|EF2: -12.503184969038216
Q6R0H7|GNAS1: -12.304210686563637
Q9EQH3|VPS35: -11.71896159988901
Q06138|CAB39: -11.560586004453938
O88746|TOM1: -11.560193661195472
P00493|HPRT: -11.55359142017614
Q9Z1X4|ILF3: -11.32084035055776
Q9CR68|UCRI: -11.222727225266286
P60766|CDC42: -11.208631935379223
P31230|AIMP1: -11.141116772268465
Q9QXV0|PCSK1: -11.082105113510448
P10852|4F2: -10.955858146602791
Q9QWI6|SRCN1: -10.954280895253797
Q9ER00|STX12: -10.94372183099408
P80317|TCPZ: -10.806678559453704
O89051|ITM2B: -10.77941280275513
Q8K1Z0|COQ9: -10.652642497199414
P40336|VP26A: -10.642428902640251
P24527|LKHA4: -10.603127746125244
Q6PEB6|PHOCN: -10.582335754667328
Q78ZA7|NP1L4: -10.570505006439545
P00405|COX2: -10.4503125314409
Q9EQF6|DPYL5: -10.42854983307449
P58281|OPA1: -10.401388213864236
Q9DD18|DTD1: -10.397122043571176
P48428|TBCA: -10.380119229125368
P97427|DPYL1: -10.371559274199177
Q8CBW3|ABI1: -10.261186840269602
Q8CAA7|PGM2L: -10.196436591675564
Q8BMF4|ODP2: -10.149736511309369
P48962|ADT1: -10.14230908735944
Q8CC35|SYNPO: -10.119725335558153
Q3U1J4|DDB1: -10.111586156935912
Q8BJU0|SGTA: -10.099343607480629
Q80UG2|PLXA4: -9.999573217866477
Q8R5H6|WASF1: -9.991036950867567
Q920P5|KAD5: -9.990282674701767
P18572|BASI: -9.928505138512635
Q61234|SNTA1: -9.91880387847726
Q9WUM4|COR1C: -9.913507160280094
O35633|VIAAT: -9.830782829193142
P67778|PHB: -9.747539362062492
Q99JY8|PLPP3: -9.707459131154797
Q04690|NF1: -9.699259379587131
Q8CG76|ARK72: -9.696750035815077
Q9CPQ8|ATP5L: -9.643478313621202
P39054|DYN2: -9.61522111013804
Q9CQI3|GMFB: -9.539289328048003
Q9CPP6|NDUA5: -9.412628464586218
P62264|RS14: -9.377918389511631
Q63810|CANB1: -9.374626708895045
P62196|PRS8: -9.37039935414565
P11798|KCC2A: -9.359268773631824
Q9R1V4|ADA11: -9.293507865849476
P16125|LDHB: -9.28998704563591
Q9CPW0|CNTP2: -9.268321489719993
Q8C7K6|PCYXL: -9.005020051236437
Q8K2B3|SDHA: -8.92001101768768
P0C0A3|CHMP6: -8.906468242512492
Q6PDM2|SRSF1: -8.645273027714184
P97461|RS5: -8.452485774472768
Q78IK2|USMG5: -8.288740975515665
Q6ZQ18|EFR3B: -8.231352551095151
Q9D023|MPC2: -8.222373221853186
E9Q6P5|TTC7B: -8.10172036256722
Q6ZQI3|MLEC: -7.902551854150703
O54946|DNJB6: -7.880649799478736
Q5DQR4|STB5L: -7.6940047303440435
P60202|MYPR: -7.654456717292462
Q9DB27|MCTS1: -7.606960263424784
Q99L04|DHRS1: -7.435821348513102
O70194|EIF3D: -7.414686625213773
Q9QZE5|COPG1: -7.34007066711855
Q9CZY3|UB2V1: -7.024081694493111
P16858|G3P: -6.933340059617856
P04370|MBP: -6.746211575645199
O55091|IMPCT: -6.736310799874351
Q9CQR2|RS21: -6.7185918097589346
Q9CQZ5|NDUA6: -6.717744723890217
Q8K4G5|ABLM1: -6.634242064723759
Q8K354|CBR3: -6.575478737911518
Q9DB73|NB5R1: -6.519384953682828
P06797|CATL1: -6.474672677440833
Q99PV0|PRP8: -6.44328562370217
Q9JKC6|CEND: -6.414276022570678
P63260|ACTG: -6.362375507357571
Q3UIU2|NDUB6: -6.182883546914874
P63101|1433Z: -6.181453108144025
P21126|UBL4A: -6.174080637979828
Q9R118|HTRA1: -6.152836006046882
Q7TPS5|C2CD5: -6.1486146401484065
P14094|AT1B1: -6.106610511586253
O08553|DPYL2: -6.089748837100704
P35505|FAAA: -6.041871656135366
Q99KK7|DPP3: -5.953105210612156
Q91YP0|L2HDH: -5.912068504260646
Q9QZB7|ARP10: -5.823749727573879
Q6PFR5|TRA2A: -5.804982037562277
Q9D967|MGDP1: -5.783125043037927
Q01149|CO1A2: -5.781924596875214
P12025|MK: -5.775938748830284
Q8BY89|CTL2: -5.735809124350293
Q8BWM0|PGES2: -5.721445481857179
Q9WVQ1|MAGI2: -5.71403430422956
Q8CFI0|NED4L: -5.704746424918785
Q9EQQ9|OGA: -5.694200894377863
Q6P6M7|SPCS: -5.673047853285621
Q9EPU0|RENT1: -5.656115622758217
Q3UQ44|IQGA2: -5.6050266701539435
A2AN08|UBR4: -5.575820832937746
Q5M8N4|D39U1: -5.575385975702826
Q9Z1D1|EIF3G: -5.483599352022632
Q8VDP6|CDIPT: -5.439149229964335
Q58A65|JIP4: -5.430061973043714
Q8CCB4|VPS53: -5.424578776720248
P43406|ITAV: -5.416773440262287
Q9EP69|SAC1: -5.412791363445617
Q8CIN4|PAK2: -5.394801339990681
P05064|ALDOA: -5.369472997350536
A2AG50|MA7D2: -5.3653436025464805
O35841|API5: -5.33539768297483
O89023|TPP1: -5.303931475244486
Q9CQE1|NPS3B: -5.254562049400224
P61079|UB2D3: -5.248375765377718
Q7TPM6|FSD1: -5.246681201289334
P46097|SYT2: -5.245830903587563
P56480|ATPB: -5.174216891238081
P28650|PURA1: -5.173838618711013
P98086|C1QA: -5.136086752879717
P55258|RAB8A: -5.1294755760866835
Q04447|KCRB: -5.089795182098508
Q9D1P4|CHRD1: -5.072020971547134
Q3UZP4|SVIP: -5.055385609709835
P51660|DHB4: -5.0501378132650485
Q9D9V3|ECHD1: -5.040875353166705
P19246|NFH: -5.03008940372396
Q8VE88|F1142: -5.02944970965336
Q9CZA6|NDE1: -5.022884600940426
P61804|DAD1: -4.994203028878227
Q80TB8|VAT1L: -4.9791012492348425
