P60202|MYPR: 6.464527328809101
P04370|MBP: 4.382949709892273
P16858|G3P: 4.135522365570068
Q04447|KCRB: 2.744640489419301
P03995|GFAP: 2.609641908357541
P63260|ACTG: 2.3897290627161656
P62806|H4: 2.160561313231786
P12023|A4: 2.0128427743911743
P84244|H33: 1.9698965114851794
O08553|DPYL2: 1.9417745073636379
P63101|1433Z: 1.9026147921880092
P14094|AT1B1: 1.8457872072855643
P56480|ATPB: 1.7242301901181545
Q03265|ATPA: 1.5194740295410156
P52480|KPYM: 1.5068764289220171
P62983|RS27A: 1.4574750363826756
P08249|MDHM: 1.4331664244333897
P0DP27|CALM2: 1.4045716722806292
Q64475|H2B1B: 1.283408554426084
P56564|EAA1: 1.2690100769201913
P14152|MDHC: 1.2570330500602722
P05064|ALDOA: 1.2495212753613787
P17751|TPIS: 1.2403141756852474
P05063|ALDOC: 1.2075011432170868
P17182|ENOA: 1.200717906157176
P43006|EAA2: 1.087388088305791
P17742|PPIA: 1.0648786425590515
P31786|ACBP: 1.0445629755655925
Q6PIC6|AT1A3: 1.0411298274993896
P63017|HSP7C: 1.0101410051186885
P08226|APOE: 0.9202244045833746
P14231|AT1B2: 0.9106978972752888
P18760|COF1: 0.8609353601932521
P70296|PEBP1: 0.8535051643848419
P17183|ENOG: 0.8512172599633532
Q9DBJ1|PGAM1: 0.8346952597300215
P68368|TBA4A: 0.8232483863830566
P62259|1433E: 0.7997798820336657
Q6PIE5|AT1A2: 0.7970530639092126
Q99KI0|ACON: 0.7899830142656956
P16125|LDHB: 0.7726020912329359
P16330|CN37: 0.7667844593524933
O08709|PRDX6: 0.7536212851603825
P61982|1433G: 0.7421749929587049
Q8VDN2|AT1A1: 0.715743397672971
Q60932|VDAC1: 0.7151626745859776
P35802|GPM6A: 0.7149228552977247
P09411|PGK1: 0.6944029629230499
P05202|AATM: 0.679639508326848
O08599|STXB1: 0.669691413640976
Q8VEM8|MPCP: 0.6400740742683411
P15105|GLNA: 0.6355937818686166
Q9D6F9|TBB4A: 0.6334314495325089
P43274|H14: 0.6223631473258138
Q64332|SYN2: 0.6011706391970311
Q60930|VDAC2: 0.5999423563480377
Q68FD5|CLH1: 0.5961221059163413
P48962|ADT1: 0.594812591870626
P11798|KCC2A: 0.5904790970186387
P68254|1433T: 0.5901283423105874
P32848|PRVA: 0.5678185935442647
O55042|SYUA: 0.5469898357987408
Q9CQV8|1433B: 0.5421882967154183
P43277|H13: 0.5182916222450634
P18872|GNAO: 0.5179240703582764
P26443|DHE3: 0.5105210145314534
